Activity,"Average hours per day"
"Personal care activities",9.41
"– Sleeping",8.76
"Eating and drinking",1.24
"Household activities",1.94
"– Housework",1.2
"– Food preparation and cleanup",0.81
"– Lawn and garden care",2.35
"– Household management",0.7
"Purchasing goods and services",1.6
"– Consumer goods purchases",0.79
"– Professional and personal care services",0.96
"Caring for and helping household members",1.6
"– Caring for and helping household children",1.49
"Caring for and helping nonhousehold members",1.83
"– Caring for and helping nonhousehold adults",0.93
"Working and work-related activities",8.58
"– Working",7.96
"Educational activities",5.95
"– Attending class",5.61
"– Homework and research",3.51
"Organizational, civic, and religious activities",2.38
"– Religious and spiritual activities",1.56
"– Volunteering (organizational and civic activities)",2.51
"Leisure and sports",5.79
"– Socializing and communicating",1.9
"– Watching television",3.81
"– Participating in sports, exercise, and recreation",1.91
"Telephone calls, mail, and e-mail",0.77
"Other activities, not elsewhere classified",1.35
