Activity,"Average hours per day"
"Personal care activities",9.83
"– Sleeping",8.92
"Eating and drinking",1.23
"Household activities",2.54
"– Housework",1.69
"– Food preparation and cleanup",1.13
"– Lawn and garden care",1.53
"– Household management",0.83
"Purchasing goods and services",1.8
"– Consumer goods purchases",0.94
"– Professional and personal care services",1.24
"Caring for and helping household members",2.37
"– Caring for and helping household children",2.2
"Caring for and helping nonhousehold members",1.74
"– Caring for and helping nonhousehold adults",0.87
"Working and work-related activities",7.53
"– Working",7.15
"Educational activities",5.56
"– Attending class",5.21
"– Homework and research",2.88
"Organizational, civic, and religious activities",2.15
"– Religious and spiritual activities",1.42
"– Volunteering (organizational and civic activities)",2.15
"Leisure and sports",5.12
"– Socializing and communicating",1.78
"– Watching television",3.42
"– Participating in sports, exercise, and recreation",1.26
"Telephone calls, mail, and e-mail",0.75
"Other activities, not elsewhere classified",1.34
