"Primary activities","Average hours per day spent"
"Personal care activities",9.91
"Eating and drinking",1.3
"Household activities",2.7
"Purchasing goods and services",0.83
"Caring for and helping household members",0.08
"Caring for and helping nonhousehold members",0.26
"Working and workrelated activities",0.26
"Educational activities",–
"Organizational, civic, and religious activities",0.6
"Leisure and sports",7.32
"Telephone calls, mail, and e-mail",0.31
"Other activities, not elsewhere classified",0.43
