Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.23
"– Sleeping",8.56
"Eating and drinking",1.1
"Household activities",2
"– Housework",0.68
"– Food preparation and cleanup",0.85
"– Lawn and garden care",0.1
"– Household management",0.12
"Purchasing goods and services",0.57
"– Consumer goods purchases",0.28
"– Professional and personal care services",0.05
"Caring for and helping household members",2.24
"– Caring for and helping household children",1.97
"Caring for and helping nonhousehold members",0.1
"– Caring for and helping nonhousehold adults",0.06
"Working and work-related activities",4.12
"– Working",3.77
"Educational activities",0.19
"– Attending class",0.07
"– Homework and research",0.11
"Organizational, civic, and religious activities",0.23
"– Religious and spiritual activities",0.12
"– Volunteering (organizational and civic activities)",0.08
"Leisure and sports",3.8
"– Socializing and communicating",0.65
"– Watching television",1.89
"– Participating in sports, exercise, and recreation",0.26
"Telephone calls, mail, and e-mail",0.09
"Other activities, not elsewhere classified",0.32
