"Primary activities","Average hours per day spent"
"Personal care activities",9.83
"Eating and drinking",1.17
"Household activities",2.16
"Purchasing goods and services",0.87
"Caring for and helping household members",0.65
"Caring for and helping nonhousehold members",0.21
"Working and workrelated activities",2.91
"Educational activities",0.49
"Organizational, civic, and religious activities",0.35
"Leisure and sports",4.86
"Telephone calls, mail, and e-mail",0.19
"Other activities, not elsewhere classified",0.31
