"Primary activities","Average hours per day spent"
"Personal care activities",9.62
"Eating and drinking",1.18
"Household activities",1.78
"Purchasing goods and services",0.75
"Caring for and helping household members",0.49
"Caring for and helping nonhousehold members",0.19
"Working and workrelated activities",3.61
"Educational activities",0.46
"Organizational, civic, and religious activities",0.3
"Leisure and sports",5.19
"Telephone calls, mail, and e-mail",0.16
"Other activities, not elsewhere classified",0.28
