"Primary activities","Average hours per day spent"
"Personal care activities",10.77
"Eating and drinking",1.14
"Household activities",1.03
"Purchasing goods and services",0.78
"Caring for and helping household members",0.07
"Caring for and helping nonhousehold members",0.07
"Working and workrelated activities",0.6
"Educational activities",3.9
"Organizational, civic, and religious activities",0.25
"Leisure and sports",4.79
"Telephone calls, mail, and e-mail",0.19
"Other activities, not elsewhere classified",0.39
