"Primary activities","Average hours per day spent"
"Personal care activities",10.6
"Eating and drinking",1.06
"Household activities",0.84
"Purchasing goods and services",0.49
"Caring for and helping household members",0.06
"Caring for and helping nonhousehold members",0.08
"Working and workrelated activities",1.24
"Educational activities",3.48
"Organizational, civic, and religious activities",0.21
"Leisure and sports",5.34
"Telephone calls, mail, and e-mail",0.26
"Other activities, not elsewhere classified",0.34
