Activity,"Average hours per day"
"Personal care activities",9.62
"– Sleeping",8.84
"Eating and drinking",1.23
"Household activities",2.28
"– Housework",1.54
"– Food preparation and cleanup",1
"– Lawn and garden care",2
"– Household management",0.78
"Purchasing goods and services",1.71
"– Consumer goods purchases",0.88
"– Professional and personal care services",1.14
"Caring for and helping household members",2.06
"– Caring for and helping household children",1.92
"Caring for and helping nonhousehold members",1.78
"– Caring for and helping nonhousehold adults",0.9
"Working and work-related activities",8.11
"– Working",7.6
"Educational activities",5.73
"– Attending class",5.39
"– Homework and research",3.13
"Organizational, civic, and religious activities",2.24
"– Religious and spiritual activities",1.47
"– Volunteering (organizational and civic activities)",2.29
"Leisure and sports",5.45
"– Socializing and communicating",1.83
"– Watching television",3.61
"– Participating in sports, exercise, and recreation",1.59
"Telephone calls, mail, and e-mail",0.76
"Other activities, not elsewhere classified",1.35
