Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.08
"– Sleeping",8.44
"Eating and drinking",1.17
"Household activities",1.28
"– Housework",0.24
"– Food preparation and cleanup",0.44
"– Lawn and garden care",0.18
"– Household management",0.09
"Purchasing goods and services",0.6
"– Consumer goods purchases",0.28
"– Professional and personal care services",0.04
"Caring for and helping household members",0.95
"– Caring for and helping household children",0.77
"Caring for and helping nonhousehold members",0.1
"– Caring for and helping nonhousehold adults",0.05
"Working and work-related activities",5.72
"– Working",5.17
"Educational activities",0.2
"– Attending class",0.08
"– Homework and research",0.1
"Organizational, civic, and religious activities",0.24
"– Religious and spiritual activities",0.1
"– Volunteering (organizational and civic activities)",0.1
"Leisure and sports",4.38
"– Socializing and communicating",0.7
"– Watching television",2.18
"– Participating in sports, exercise, and recreation",0.3
"Telephone calls, mail, and e-mail",0.07
"Other activities, not elsewhere classified",0.22
