Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.47
"– Sleeping",8.82
"Eating and drinking",1.21
"Household activities",1.51
"– Housework",0.29
"– Food preparation and cleanup",0.39
"– Lawn and garden care",0.29
"– Household management",0.12
"Purchasing goods and services",0.65
"– Consumer goods purchases",0.3
"– Professional and personal care services",0.07
"Caring for and helping household members",0.05
"– Caring for and helping household children",–
"Caring for and helping nonhousehold members",0.19
"– Caring for and helping nonhousehold adults",0.07
"Working and work-related activities",4.01
"– Working",3.62
"Educational activities",0.25
"– Attending class",0.08
"– Homework and research",0.16
"Organizational, civic, and religious activities",0.26
"– Religious and spiritual activities",0.11
"– Volunteering (organizational and civic activities)",0.12
"Leisure and sports",6.04
"– Socializing and communicating",0.58
"– Watching television",3.47
"– Participating in sports, exercise, and recreation",0.39
"Telephone calls, mail, and e-mail",0.12
"Other activities, not elsewhere classified",0.23
