Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.88
"– Sleeping",8.93
"Eating and drinking",1.2
"Household activities",2.18
"– Housework",0.74
"– Food preparation and cleanup",0.72
"– Lawn and garden care",0.14
"– Household management",0.22
"Purchasing goods and services",0.94
"– Consumer goods purchases",0.44
"– Professional and personal care services",0.15
"Caring for and helping household members",0.08
"– Caring for and helping household children",–
"Caring for and helping nonhousehold members",0.28
"– Caring for and helping nonhousehold adults",0.08
"Working and work-related activities",2.87
"– Working",2.6
"Educational activities",0.22
"– Attending class",0.07
"– Homework and research",0.13
"Organizational, civic, and religious activities",0.37
"– Religious and spiritual activities",0.18
"– Volunteering (organizational and civic activities)",0.15
"Leisure and sports",5.49
"– Socializing and communicating",0.68
"– Watching television",3.08
"– Participating in sports, exercise, and recreation",0.22
"Telephone calls, mail, and e-mail",0.21
"Other activities, not elsewhere classified",0.29
