"Primary activities","Average hours per day spent"
"Personal care activities",9.29
"Eating and drinking",1.12
"Household activities",1.11
"Purchasing goods and services",0.45
"Caring for and helping household members",0.53
"Caring for and helping nonhousehold members",0.1
"Working and workrelated activities",5.76
"Educational activities",0.39
"Organizational, civic, and religious activities",0.18
"Leisure and sports",4.77
"Telephone calls, mail, and e-mail",0.09
"Other activities, not elsewhere classified",0.21
