"Primary activities","Average hours per day spent"
"Personal care activities",9.54
"Eating and drinking",1.28
"Household activities",2.38
"Purchasing goods and services",0.98
"Caring for and helping household members",0.15
"Caring for and helping nonhousehold members",0.35
"Working and workrelated activities",1.1
"Educational activities",0.01
"Organizational, civic, and religious activities",0.57
"Leisure and sports",7.1
"Telephone calls, mail, and e-mail",0.24
"Other activities, not elsewhere classified",0.28
