"Primary activities","Average hours per day spent"
"Personal care activities",9.55
"Eating and drinking",1.18
"Household activities",2.12
"Purchasing goods and services",0.94
"Caring for and helping household members",0.47
"Caring for and helping nonhousehold members",0.15
"Working and workrelated activities",4.53
"Educational activities",0.07
"Organizational, civic, and religious activities",0.3
"Leisure and sports",4.26
"Telephone calls, mail, and e-mail",0.15
"Other activities, not elsewhere classified",0.28
