Activity,"Average hours per day"
"Total, all activities",24
"Personal care activities",9.41
"– Sleeping",8.76
"Eating and drinking",1.19
"Household activities",1.39
"– Housework",0.27
"– Food preparation and cleanup",0.39
"– Lawn and garden care",0.24
"– Household management",0.11
"Purchasing goods and services",0.61
"– Consumer goods purchases",0.28
"– Professional and personal care services",0.06
"Caring for and helping household members",0.32
"– Caring for and helping household children",0.23
"Caring for and helping nonhousehold members",0.16
"– Caring for and helping nonhousehold adults",0.06
"Working and work-related activities",4.36
"– Working",3.92
"Educational activities",0.43
"– Attending class",0.23
"– Homework and research",0.17
"Organizational, civic, and religious activities",0.25
"– Religious and spiritual activities",0.1
"– Volunteering (organizational and civic activities)",0.11
"Leisure and sports",5.53
"– Socializing and communicating",0.62
"– Watching television",3
"– Participating in sports, exercise, and recreation",0.39
"Telephone calls, mail, and e-mail",0.12
"Other activities, not elsewhere classified",0.23
