Activity,"Average percent"
"Personal care activities",100
"– Sleeping",100
"Eating and drinking",96.2
"Household activities",71.4
"– Housework",22.2
"– Food preparation and cleanup",48.3
"– Lawn and garden care",10.3
"– Household management",15.5
"Purchasing goods and services",38
"– Consumer goods purchases",34.9
"– Professional and personal care services",5.9
"Caring for and helping household members",19.9
"– Caring for and helping household children",15.4
"Caring for and helping nonhousehold members",8.7
"– Caring for and helping nonhousehold adults",6.4
"Working and work-related activities",50.8
"– Working",49.3
"Educational activities",7.2
"– Attending class",4
"– Homework and research",5
"Organizational, civic, and religious activities",10.4
"– Religious and spiritual activities",6.6
"– Volunteering (organizational and civic activities)",4.5
"Leisure and sports",95.6
"– Socializing and communicating",32.5
"– Watching television",78.7
"– Participating in sports, exercise, and recreation",20.7
"Telephone calls, mail, and e-mail",16.1
"Other activities, not elsewhere classified",17.3
