Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.56
"– Sleeping",8.76
"Eating and drinking",1.12
"Household activities",2.33
"– Housework",0.92
"– Food preparation and cleanup",1.02
"– Lawn and garden care",0.06
"– Household management",0.15
"Purchasing goods and services",0.83
"– Consumer goods purchases",0.42
"– Professional and personal care services",0.09
"Caring for and helping household members",1.8
"– Caring for and helping household children",1.49
"Caring for and helping nonhousehold members",0.12
"– Caring for and helping nonhousehold adults",0.05
"Working and work-related activities",3.35
"– Working",3.06
"Educational activities",0.36
"– Attending class",0.14
"– Homework and research",0.2
"Organizational, civic, and religious activities",0.34
"– Religious and spiritual activities",0.16
"– Volunteering (organizational and civic activities)",0.13
"Leisure and sports",3.7
"– Socializing and communicating",0.57
"– Watching television",1.94
"– Participating in sports, exercise, and recreation",0.22
"Telephone calls, mail, and e-mail",0.14
"Other activities, not elsewhere classified",0.35
