Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.34
"– Sleeping",8.62
"Eating and drinking",1.14
"Household activities",1.85
"– Housework",0.61
"– Food preparation and cleanup",0.75
"– Lawn and garden care",0.12
"– Household management",0.12
"Purchasing goods and services",0.72
"– Consumer goods purchases",0.35
"– Professional and personal care services",0.07
"Caring for and helping household members",1.41
"– Caring for and helping household children",1.16
"Caring for and helping nonhousehold members",0.11
"– Caring for and helping nonhousehold adults",0.05
"Working and work-related activities",4.43
"– Working",4.03
"Educational activities",0.29
"– Attending class",0.12
"– Homework and research",0.15
"Organizational, civic, and religious activities",0.29
"– Religious and spiritual activities",0.13
"– Volunteering (organizational and civic activities)",0.12
"Leisure and sports",4.02
"– Socializing and communicating",0.63
"– Watching television",2.05
"– Participating in sports, exercise, and recreation",0.26
"Telephone calls, mail, and e-mail",0.11
"Other activities, not elsewhere classified",0.29
