"Primary activities","Average hours per day spent"
"Personal care activities",9.22
"Eating and drinking",1.2
"Household activities",1.4
"Purchasing goods and services",0.71
"Caring for and helping household members",0.38
"Caring for and helping nonhousehold members",0.1
"Working and workrelated activities",5.91
"Educational activities",–
"Organizational, civic, and religious activities",0.24
"Leisure and sports",4.51
"Telephone calls, mail, and e-mail",0.09
"Other activities, not elsewhere classified",0.23
