"Primary activities","Average hours per day spent"
"Personal care activities",9.39
"Eating and drinking",1.19
"Household activities",1.76
"Purchasing goods and services",0.83
"Caring for and helping household members",0.43
"Caring for and helping nonhousehold members",0.13
"Working and workrelated activities",5.21
"Educational activities",0.04
"Organizational, civic, and religious activities",0.27
"Leisure and sports",4.38
"Telephone calls, mail, and e-mail",0.12
"Other activities, not elsewhere classified",0.26
