Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.68
"– Sleeping",8.88
"Eating and drinking",1.21
"Household activities",1.85
"– Housework",0.52
"– Food preparation and cleanup",0.55
"– Lawn and garden care",0.22
"– Household management",0.17
"Purchasing goods and services",0.8
"– Consumer goods purchases",0.37
"– Professional and personal care services",0.11
"Caring for and helping household members",0.06
"– Caring for and helping household children",–
"Caring for and helping nonhousehold members",0.24
"– Caring for and helping nonhousehold adults",0.07
"Working and work-related activities",3.43
"– Working",3.11
"Educational activities",0.24
"– Attending class",0.08
"– Homework and research",0.15
"Organizational, civic, and religious activities",0.31
"– Religious and spiritual activities",0.14
"– Volunteering (organizational and civic activities)",0.14
"Leisure and sports",5.76
"– Socializing and communicating",0.63
"– Watching television",3.27
"– Participating in sports, exercise, and recreation",0.3
"Telephone calls, mail, and e-mail",0.17
"Other activities, not elsewhere classified",0.26
