"Primary activities","Average hours per day spent"
"Personal care activities",9.42
"Eating and drinking",1.2
"Household activities",2.12
"Purchasing goods and services",0.75
"Caring for and helping household members",0.18
"Caring for and helping nonhousehold members",0.34
"Working and workrelated activities",3.8
"Educational activities",0.01
"Organizational, civic, and religious activities",0.35
"Leisure and sports",5.45
"Telephone calls, mail, and e-mail",0.15
"Other activities, not elsewhere classified",0.24
