"Primary activities","Average hours per day spent"
"Personal care activities",9.41
"Eating and drinking",1.19
"Household activities",1.39
"Purchasing goods and services",0.61
"Caring for and helping household members",0.32
"Caring for and helping nonhousehold members",0.16
"Working and workrelated activities",4.36
"Educational activities",0.43
"Organizational, civic, and religious activities",0.25
"Leisure and sports",5.53
"Telephone calls, mail, and e-mail",0.12
"Other activities, not elsewhere classified",0.23
