"Primary activities","Average hours per day spent"
"Personal care activities",9.88
"Eating and drinking",1.35
"Household activities",2.4
"Purchasing goods and services",0.85
"Caring for and helping household members",0.1
"Caring for and helping nonhousehold members",0.21
"Working and workrelated activities",0.37
"Educational activities",–
"Organizational, civic, and religious activities",0.5
"Leisure and sports",7.67
"Telephone calls, mail, and e-mail",0.26
"Other activities, not elsewhere classified",0.4
