"Primary activities","Average hours per day spent"
"Personal care activities",9.94
"Eating and drinking",1.16
"Household activities",1.93
"Purchasing goods and services",0.73
"Caring for and helping household members",1.47
"Caring for and helping nonhousehold members",0.11
"Working and workrelated activities",3.94
"Educational activities",0.34
"Organizational, civic, and religious activities",0.2
"Leisure and sports",3.78
"Telephone calls, mail, and e-mail",0.11
"Other activities, not elsewhere classified",0.28
