Activity,"Average percent"
"Personal care activities",100
"– Sleeping",100
"Eating and drinking",95.8
"Household activities",78.3
"– Housework",34.6
"– Food preparation and cleanup",59.7
"– Lawn and garden care",8.7
"– Household management",19.1
"Purchasing goods and services",43.5
"– Consumer goods purchases",39.8
"– Professional and personal care services",7.8
"Caring for and helping household members",23.7
"– Caring for and helping household children",19
"Caring for and helping nonhousehold members",10.5
"– Caring for and helping nonhousehold adults",7.2
"Working and work-related activities",44.6
"– Working",43
"Educational activities",8
"– Attending class",4.4
"– Homework and research",6.1
"Organizational, civic, and religious activities",13.4
"– Religious and spiritual activities",9.2
"– Volunteering (organizational and civic activities)",5.5
"Leisure and sports",95.2
"– Socializing and communicating",34.8
"– Watching television",77.9
"– Participating in sports, exercise, and recreation",19.3
"Telephone calls, mail, and e-mail",20.7
"Other activities, not elsewhere classified",20.4
