"Primary activities","Average hours per day spent"
"Personal care activities",8.98
"Eating and drinking",1.12
"Household activities",1.31
"Purchasing goods and services",0.58
"Caring for and helping household members",0.75
"Caring for and helping nonhousehold members",0.14
"Working and workrelated activities",6.31
"Educational activities",0.07
"Organizational, civic, and religious activities",0.21
"Leisure and sports",4.24
"Telephone calls, mail, and e-mail",0.08
"Other activities, not elsewhere classified",0.2
