"Primary activities","Average hours per day spent"
"Personal care activities",9.55
"Eating and drinking",1.11
"Household activities",2.36
"Purchasing goods and services",0.89
"Caring for and helping household members",1.53
"Caring for and helping nonhousehold members",0.1
"Working and workrelated activities",3.82
"Educational activities",0.09
"Organizational, civic, and religious activities",0.29
"Leisure and sports",3.75
"Telephone calls, mail, and e-mail",0.16
"Other activities, not elsewhere classified",0.35
