"Primary activities","Average hours per day spent"
"Personal care activities",10.08
"Eating and drinking",1.13
"Household activities",1.02
"Purchasing goods and services",0.72
"Caring for and helping household members",0.17
"Caring for and helping nonhousehold members",0.15
"Working and workrelated activities",4.16
"Educational activities",1.24
"Organizational, civic, and religious activities",0.09
"Leisure and sports",4.91
"Telephone calls, mail, and e-mail",0.1
"Other activities, not elsewhere classified",0.22
