Activities,"Average hours per day spent"
"Total, all activities",24
"Personal care activities",9.66
"– Sleeping",8.79
"Eating and drinking",1.16
"Household activities",2.2
"– Housework",0.87
"– Food preparation and cleanup",0.93
"– Lawn and garden care",0.07
"– Household management",0.15
"Purchasing goods and services",0.96
"– Consumer goods purchases",0.48
"– Professional and personal care services",0.1
"Caring for and helping household members",1.05
"– Caring for and helping household children",0.75
"Caring for and helping nonhousehold members",0.12
"– Caring for and helping nonhousehold adults",0.05
"Working and work-related activities",3.65
"– Working",3.32
"Educational activities",0.51
"– Attending class",0.22
"– Homework and research",0.26
"Organizational, civic, and religious activities",0.4
"– Religious and spiritual activities",0.18
"– Volunteering (organizational and civic activities)",0.16
"Leisure and sports",3.81
"– Socializing and communicating",0.58
"– Watching television",2.03
"– Participating in sports, exercise, and recreation",0.23
"Telephone calls, mail, and e-mail",0.17
"Other activities, not elsewhere classified",0.33
