Activity,"Average hours per day"
"Total, all activities",24
"Personal care activities",9.83
"– Sleeping",8.91
"Eating and drinking",1.17
"Household activities",2.16
"– Housework",0.78
"– Food preparation and cleanup",0.79
"– Lawn and garden care",0.11
"– Household management",0.19
"Purchasing goods and services",0.87
"– Consumer goods purchases",0.42
"– Professional and personal care services",0.12
"Caring for and helping household members",0.65
"– Caring for and helping household children",0.49
"Caring for and helping nonhousehold members",0.21
"– Caring for and helping nonhousehold adults",0.07
"Working and work-related activities",2.91
"– Working",2.64
"Educational activities",0.49
"– Attending class",0.24
"– Homework and research",0.21
"Organizational, civic, and religious activities",0.35
"– Religious and spiritual activities",0.17
"– Volunteering (organizational and civic activities)",0.14
"Leisure and sports",4.86
"– Socializing and communicating",0.66
"– Watching television",2.64
"– Participating in sports, exercise, and recreation",0.23
"Telephone calls, mail, and e-mail",0.19
"Other activities, not elsewhere classified",0.31
