"Primary activities","Average hours per day spent"
"Personal care activities",9.27
"Eating and drinking",1.12
"Household activities",1.85
"Purchasing goods and services",0.74
"Caring for and helping household members",1.14
"Caring for and helping nonhousehold members",0.12
"Working and workrelated activities",5.04
"Educational activities",0.08
"Organizational, civic, and religious activities",0.25
"Leisure and sports",3.99
"Telephone calls, mail, and e-mail",0.12
"Other activities, not elsewhere classified",0.28
